Library,Technique,Consistency (%),Unique Count,Uniqueness Ratio,Entropy,Avg Time (s),Min Time (s),Max Time (s),Time Std Dev,Error Count
requests,ja3,100.0,1.0,0.0333,-0.0,0.35211,0.295585,0.60639,0.080784,0.0
requests,ja4,100.0,1.0,0.0333,-0.0,0.393414,0.297875,0.820872,0.157621,0.0
requests,ja3s,6.67,29.0,0.9667,4.8402,0.367091,0.296268,0.625224,0.099218,0.0
requests,ja4s,3.33,30.0,1.0,4.9069,0.356049,0.280544,0.553082,0.082962,0.0
requests,jarm,100.0,1.0,0.0333,-0.0,0.563297,0.46604,0.761736,0.074934,0.0
requests,jarm_s,3.33,30.0,1.0,4.9069,0.534614,0.505315,0.652729,0.025109,0.0
requests,sslanalyze,100.0,1.0,0.0333,-0.0,0.370696,0.337029,0.646626,0.073512,0.0
requests,sslanalyze_s,3.33,30.0,1.0,4.9069,0.365476,0.332409,0.593645,0.055312,0.0
httpx,ja3,100.0,1.0,0.0333,-0.0,0.344069,0.298912,0.550428,0.078239,0.0
httpx,ja4,100.0,1.0,0.0333,-0.0,0.336048,0.298288,0.583424,0.069822,0.0
httpx,ja3s,3.33,30.0,1.0,4.9069,0.311985,0.298705,0.350524,0.01583,0.0
httpx,ja4s,3.33,30.0,1.0,4.9069,0.333483,0.29891,0.587337,0.072172,0.0
httpx,jarm,100.0,1.0,0.0333,-0.0,0.584068,0.49991,0.799244,0.093466,0.0
httpx,jarm_s,3.33,30.0,1.0,4.9069,0.533051,0.518325,0.578948,0.010968,0.0
httpx,sslanalyze,100.0,1.0,0.0333,-0.0,0.362331,0.341931,0.519793,0.037995,0.0
httpx,sslanalyze_s,3.33,30.0,1.0,4.9069,0.360529,0.337711,0.620875,0.049217,0.0
urllib,ja3,100.0,1.0,0.0333,-0.0,0.33486,0.289783,0.594174,0.080588,0.0
urllib,ja4,100.0,1.0,0.0333,-0.0,0.326406,0.285784,0.552543,0.060611,0.0
urllib,ja3s,3.33,30.0,1.0,4.9069,0.347754,0.292281,0.591851,0.089057,0.0
urllib,ja4s,3.33,30.0,1.0,4.9069,0.313194,0.288683,0.529074,0.040943,0.0
urllib,jarm,100.0,1.0,0.0333,-0.0,0.565751,0.498722,0.76691,0.089978,0.0
urllib,jarm_s,3.33,30.0,1.0,4.9069,0.559207,0.493171,0.791873,0.081311,0.0
urllib,sslanalyze,100.0,1.0,0.0333,-0.0,0.376138,0.330069,0.758359,0.082957,0.0
urllib,sslanalyze_s,3.33,30.0,1.0,4.9069,0.344776,0.327113,0.369647,0.008519,0.0
http.client,ja3,100.0,1.0,0.0333,-0.0,0.337403,0.277754,0.576281,0.079073,0.0
http.client,ja4,100.0,1.0,0.0333,-0.0,0.308892,0.292367,0.331086,0.009782,0.0
http.client,ja3s,3.33,30.0,1.0,4.9069,0.328763,0.292579,0.747812,0.082403,0.0
http.client,ja4s,3.33,30.0,1.0,4.9069,0.307458,0.247971,0.356231,0.01689,0.0
http.client,jarm,100.0,1.0,0.0333,-0.0,0.531832,0.503149,0.769914,0.046724,0.0
http.client,jarm_s,3.33,30.0,1.0,4.9069,0.520492,0.478557,0.55361,0.01254,0.0
http.client,sslanalyze,100.0,1.0,0.0333,-0.0,0.372952,0.333021,0.621019,0.069788,0.0
http.client,sslanalyze_s,3.33,30.0,1.0,4.9069,0.351323,0.313693,0.619949,0.050727,0.0
